#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;900.4;900.4;76386.1;56974.2
2;1.89;1.82;0.427;0.431;476.9;495.0;43806.3;32557.5
3;2.49;2.50;0.548;0.575;361.3;359.9;34528.9;24418.5
4;3.24;3.08;0.636;0.647;277.6;292.3;27837.9;20349.1
5;3.84;3.58;0.680;0.690;234.4;251.8;24436.0;17907.4
6;4.37;4.01;0.710;0.719;205.9;224.7;22119.1;16279.6
7;4.90;4.38;0.735;0.739;183.7;205.4;20274.0;15116.9
8;5.42;4.72;0.755;0.755;166.0;191.0;18685.9;14244.9
9;5.95;5.01;0.769;0.767;151.3;179.7;17650.8;13566.7
10;6.58;5.28;0.783;0.776;136.8;170.7;16552.8;13024.1
11;5.02;5.51;0.738;0.784;179.5;163.3;20036.5;12580.1
12;5.15;5.73;0.741;0.791;174.7;157.2;19768.8;12210.2
13;5.37;5.92;0.748;0.796;167.8;152.0;19267.8;11897.1
14;5.57;6.10;0.753;0.801;161.7;147.5;18890.0;11628.8
15;5.83;6.27;0.760;0.805;154.4;143.7;18317.1;11396.3
16;6.17;6.42;0.769;0.809;145.9;140.3;17675.9;11192.8
17;6.30;6.56;0.771;0.812;142.9;137.3;17460.7;11013.3
18;6.63;6.69;0.779;0.815;135.7;134.6;16905.5;10853.7
19;6.91;6.81;0.784;0.817;130.4;132.3;16534.5;10710.9
20;7.28;6.92;0.789;0.819;123.6;130.1;16092.5;10582.4
