#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.20GHz;21.06;0.49;1764.0;84.89;
1;2;2.20GHz;14.1;0.34;1224.0;89.8769230769;
1;3;2.20GHz;11.44;0.26;936.0;94.0555555556;
1;4;2.20GHz;11.24;0.29;1044.0;95.62;
1;5;2.20GHz;10.74;0.27;972.0;99.8666666667;
1;6;2.20GHz;11.24;0.3;1080.0;100.16;
1;7;2.20GHz;9.47;0.25;900.0;103.625;
1;8;2.20GHz;11.06;0.31;1116.0;103.45;
1;9;2.20GHz;10.59;0.28;1008.0;105.544444444;
1;10;2.20GHz;10.34;0.29;1044.0;108.133333333;
1;11;2.20GHz;9.86;0.26;936.0;109.75;
1;12;2.20GHz;9.72;0.26;936.0;106.6125;
1;13;2.20GHz;9.09;0.26;936.0;107.275;
1;14;2.20GHz;8.79;0.23;828.0;106.542857143;
1;15;2.20GHz;8.79;0.23;828.0;107.114285714;
1;16;2.20GHz;8.29;0.23;828.0;108.714285714;
1;17;2.20GHz;8.63;0.23;828.0;107.6;
1;18;2.20GHz;8.01;0.2;720.0;107.533333333;
1;19;2.20GHz;7.67;0.2;720.0;107.25;
1;20;2.20GHz;7.71;0.2;720.0;113.783333333;
